city,state,orders_deliverd,late_orders,mean_late_days,late_percentage
abadia dos dourados,MG,3,0,0.0,0.0
abaete,MG,12,1,0.25,8.33
abatia,PR,3,0,0.0,0.0
abre campo,MG,5,0,0.0,0.0
acaiaca,MG,2,0,0.0,0.0
acegua,RS,2,0,0.0,0.0
acucena,MG,1,0,0.0,0.0
adamantina,SP,35,1,0.02857142857142857,2.86
adhemar de barros,PR,1,1,73.0,100.0
adolfo,SP,5,0,0.0,0.0
adrianopolis,PR,1,0,0.0,0.0
agisse,SP,1,0,0.0,0.0
agua comprida,MG,2,0,0.0,0.0
agua santa,RS,2,0,0.0,0.0
aguai,SP,9,1,0.8888888888888888,11.11
aguas claras,RS,1,1,3.0,100.0
aguas da prata,SP,10,0,0.0,0.0
aguas de lindoia,SP,22,1,1.0,4.55
aguas de santa barbara,SP,3,0,0.0,0.0
aguas de sao pedro,SP,2,0,0.0,0.0
aguas formosas,MG,5,0,0.0,0.0
aguas vermelhas,MG,3,0,0.0,0.0
agudo,RS,1,0,0.0,0.0
agudos,SP,16,1,0.75,6.25
aimores,MG,10,1,0.2,10.0
aiuruoca,MG,4,0,0.0,0.0
ajapi,SP,1,1,5.0,100.0
ajuricaba,RS,2,0,0.0,0.0
alagoa,MG,1,0,0.0,0.0
alambari,SP,3,0,0.0,0.0
alegrete,RS,35,0,0.0,0.0
alegria,RS,1,0,0.0,0.0
alem paraiba,MG,28,0,0.0,0.0
alexandra,PR,1,0,0.0,0.0
alexandrita,MG,1,0,0.0,0.0
alfenas,MG,43,3,0.5813953488372093,6.98
alfredo marcondes,SP,1,0,0.0,0.0
alfredo vasconcelos,MG,3,0,0.0,0.0
almenara,MG,14,0,0.0,0.0
almirante tamandare,PR,35,0,0.0,0.0
almirante tamandare do sul,RS,1,0,0.0,0.0
alpercata,MG,2,0,0.0,0.0
alpestre,RS,1,0,0.0,0.0
alpinopolis,MG,7,0,0.0,0.0
altamira do parana,PR,2,0,0.0,0.0
alterosa,MG,3,0,0.0,0.0
altinopolis,SP,4,0,0.0,0.0
alto alegre,PR,2,0,0.0,0.0
alto alegre,RS,1,0,0.0,0.0
alto alegre do iguacu,PR,2,0,0.0,0.0
alto caparao,MG,2,0,0.0,0.0
alto jequitiba,MG,3,0,0.0,0.0
alto paraiso,PR,1,0,0.0,0.0
alto parana,PR,2,0,0.0,0.0
alto piquiri,PR,1,0,0.0,0.0
alto rio doce,MG,4,0,0.0,0.0
alto sao joao,PR,1,1,34.0,100.0
altonia,PR,3,0,0.0,0.0
aluminio,SP,13,2,1.4615384615384615,15.38
alvarenga,MG,2,0,0.0,0.0
alvares florence,SP,2,1,0.5,50.0
alvares machado,SP,8,0,0.0,0.0
alvaro de carvalho,SP,2,0,0.0,0.0
alvinopolis,MG,11,0,0.0,0.0
alvorada,RS,50,4,0.38,8.0
amapora,PR,2,0,0.0,0.0
americana,SP,216,18,0.27314814814814814,8.33
americo brasiliense,SP,17,3,1.2941176470588236,17.65
americo de campos,SP,1,0,0.0,0.0
ametista do sul,RS,2,0,0.0,0.0
amparo,SP,63,3,0.5238095238095238,4.76
amparo da serra,MG,1,0,0.0,0.0
ampere,PR,8,1,0.125,12.5
analandia,SP,4,1,0.5,25.0
andira,PR,11,0,0.0,0.0
andradas,MG,12,1,0.4166666666666667,8.33
andradina,SP,40,0,0.0,0.0
andre da rocha,RS,1,0,0.0,0.0
andrelandia,MG,3,1,1.6666666666666667,33.33
andrequice,MG,1,0,0.0,0.0
angatuba,SP,8,1,2.5,12.5
angra dos reis,RJ,83,14,1.5662650602409638,16.87
angulo,PR,3,0,0.0,0.0
angustura,MG,1,0,0.0,0.0
anhembi,SP,1,0,0.0,0.0
anhumas,SP,1,0,0.0,0.0
anta,RJ,3,0,0.0,0.0
anta gorda,RS,4,0,0.0,0.0
antonina,PR,10,0,0.0,0.0
antonio carlos,MG,1,0,0.0,0.0
antonio pereira,MG,2,1,1.5,50.0
antonio prado,RS,5,0,0.0,0.0
antonio prado de minas,MG,3,0,0.0,0.0
antunes,MG,1,0,0.0,0.0
aparecida,SP,25,2,0.28,8.0
aparecida d'oeste,SP,1,0,0.0,0.0
aparecida de monte alto,SP,1,0,0.0,0.0
aparecida de sao manuel,SP,2,0,0.0,0.0
aperibe,RJ,12,2,1.8333333333333333,16.67
apiai,SP,6,1,0.5,16.67
apucarana,PR,51,3,0.5490196078431373,5.88
aracariguama,SP,8,0,0.0,0.0
aracatuba,SP,138,4,0.028985507246376812,2.9
aracitaba,MG,2,0,0.0,0.0
aracoiaba da serra,SP,11,0,0.0,0.0
aracuai,MG,9,1,1.0,11.11
araguari,MG,54,3,0.37037037037037035,5.56
aramina,SP,1,1,5.0,100.0
arandu,SP,3,0,0.0,0.0
arantina,MG,1,0,0.0,0.0
arapei,SP,2,0,0.0,0.0
araponga,MG,2,0,0.0,0.0
arapongas,PR,32,4,1.8125,12.5
arapora,MG,5,0,0.0,0.0
arapoti,PR,9,0,0.0,0.0
arapua,MG,1,0,0.0,0.0
araraquara,SP,150,11,0.8466666666666667,7.33
araras,SP,93,7,0.20430107526881722,7.53
ararica,RS,2,0,0.0,0.0
araruama,RJ,74,8,1.0945945945945945,10.81
araruna,PR,4,0,0.0,0.0
aratiba,RS,1,0,0.0,0.0
araucaria,PR,54,4,0.5925925925925926,7.41
araujos,MG,5,0,0.0,0.0
araxa,MG,75,9,0.56,12.0
arceburgo,MG,7,0,0.0,0.0
arcos,MG,25,1,0.88,4.0
areado,MG,6,0,0.0,0.0
areal,RJ,7,0,0.0,0.0
arealva,SP,3,0,0.0,0.0
areia branca dos assis,PR,3,2,10.0,66.67
areias,SP,3,0,0.0,0.0
areiopolis,SP,3,0,0.0,0.0
arinos,MG,8,0,0.0,0.0
ariranha,SP,5,0,0.0,0.0
armacao dos buzios,RJ,28,13,4.642857142857143,46.43
arraial do cabo,RJ,28,6,2.857142857142857,21.43
arroio do meio,RS,9,0,0.0,0.0
arroio do sal,RS,7,0,0.0,0.0
arroio do tigre,RS,2,0,0.0,0.0
arroio dos ratos,RS,9,0,0.0,0.0
arroio grande,RS,3,1,1.0,33.33
arrozal,RJ,3,0,0.0,0.0
artur nogueira,SP,40,0,0.0,0.0
aruja,SP,68,1,0.014705882352941176,1.47
arvorezinha,RS,4,0,0.0,0.0
assai,PR,5,1,1.8,20.0
assis,SP,84,1,0.23809523809523808,1.19
assis chateaubriand,PR,12,1,0.25,8.33
astolfo dutra,MG,11,1,0.36363636363636365,9.09
astorga,PR,7,0,0.0,0.0
ataleia,MG,2,0,0.0,0.0
atibaia,SP,154,10,0.4155844155844156,6.49
augusto pestana,RS,2,0,0.0,0.0
aurea,RS,2,0,0.0,0.0
auriflama,SP,10,0,0.0,0.0
avanhandava,SP,7,0,0.0,0.0
avare,SP,63,4,1.2857142857142858,6.35
avelar,RJ,4,1,2.25,25.0
azurita,MG,3,2,7.333333333333333,66.67
bacaxa,RJ,1,0,0.0,0.0
bady bassitt,SP,6,0,0.0,0.0
baependi,MG,8,0,0.0,0.0
bage,RS,62,8,0.7419354838709677,12.9
balbinos,SP,1,0,0.0,0.0
baldim,MG,2,0,0.0,0.0
balneario pinhal,RS,7,0,0.0,0.0
balsa nova,PR,1,0,0.0,0.0
balsamo,SP,6,0,0.0,0.0
bambui,MG,18,1,0.2222222222222222,5.56
bananal,SP,5,0,0.0,0.0
bandeira,MG,3,0,0.0,0.0
bandeira do sul,MG,2,0,0.0,0.0
bandeirantes,PR,13,0,0.0,0.0
bandeirantes d'oeste,SP,1,0,0.0,0.0
barao,RS,1,0,0.0,0.0
barao ataliba nogueira,SP,1,0,0.0,0.0
barao de cocais,MG,18,0,0.0,0.0
barao de cotegipe,RS,2,0,0.0,0.0
barao de juparana,RJ,1,0,0.0,0.0
barao do triunfo,RS,1,0,0.0,0.0
barbacena,MG,79,4,0.20253164556962025,5.06
barbosa ferraz,PR,3,0,0.0,0.0
bariri,SP,15,0,0.0,0.0
barra bonita,SP,28,1,0.17857142857142858,3.57
barra de sao joao,RJ,13,1,1.6923076923076923,7.69
barra do jacare,PR,1,0,0.0,0.0
barra do pirai,RJ,49,4,1.7551020408163265,8.16
barra do ribeiro,RS,5,0,0.0,0.0
barra do rio azul,RS,1,0,0.0,0.0
barra do turvo,SP,3,1,7.0,33.33
barra longa,MG,1,0,0.0,0.0
barra mansa,RJ,119,22,1.5126050420168067,18.49
barracao,PR,1,0,0.0,0.0
barracao,RS,2,0,0.0,0.0
barretos,SP,69,3,0.10144927536231885,4.35
barrinha,SP,18,3,5.555555555555555,16.67
barros cassal,RS,3,0,0.0,0.0
barroso,MG,11,1,0.5454545454545454,9.09
barueri,SP,419,21,0.4510739856801909,5.01
bastos,SP,17,0,0.0,0.0
batatais,SP,27,1,0.25925925925925924,3.7
bauru,SP,263,9,0.155893536121673,3.42
bebedouro,SP,51,3,0.6470588235294118,5.88
bela vista de minas,MG,1,0,0.0,0.0
bela vista do paraiso,PR,3,0,0.0,0.0
belford roxo,RJ,104,9,1.3942307692307692,8.65
belo horizonte,MG,2697,166,0.42862439747868003,6.15
belo oriente,MG,5,0,0.0,0.0
belo vale,MG,3,0,0.0,0.0
bemposta,RJ,1,0,0.0,0.0
bento de abreu,SP,2,0,0.0,0.0
bento goncalves,RS,53,1,0.1320754716981132,1.89
berilo,MG,1,0,0.0,0.0
berizal,MG,1,0,0.0,0.0
bernardino de campos,SP,4,1,0.25,25.0
bertioga,SP,47,5,0.7872340425531915,10.64
bertopolis,MG,1,1,11.0,100.0
betim,MG,196,11,0.45918367346938777,5.61
bias fortes,MG,2,0,0.0,0.0
bicas,MG,7,0,0.0,0.0
bilac,SP,7,0,0.0,0.0
birigui,SP,78,4,0.1282051282051282,5.13
biritiba-mirim,SP,10,0,0.0,0.0
bituruna,PR,5,0,0.0,0.0
boa esperanca,MG,11,0,0.0,0.0
boa esperanca,PR,1,0,0.0,0.0
boa esperanca,RJ,1,1,6.0,100.0
boa esperanca do iguacu,PR,1,0,0.0,0.0
boa esperanca do sul,SP,11,1,0.6363636363636364,9.09
boa ventura,RJ,1,0,0.0,0.0
boa vista da aparecida,PR,4,0,0.0,0.0
boa vista das missoes,RS,1,0,0.0,0.0
